Id,Start,End,Values
4ca246,1,5,8.590809215198863;41.16060418597722 8.57333096590909;41.13053144034693 8.503230701793324;41.00847147278866 8.47564003684304;40.96061577231197 8.423583984375;40.869964599609375 
3c6592,1,5,8.8494873046875;50.55982686705508 8.909095557960304;50.66112453654661 9.002776274809966;50.819000244140625 9.042434692382812;50.88573908401747 9.105911254882812;50.992110947431144 
4010dc,1,6,3.485918546977796;49.052977481130824 3.37533248098273;49.13141800185381 3.239628718449519;49.22712707519531 3.104271521935096;49.32215881347656 2.9677875225360575;49.41741943359375 2.833677593030427;49.510528564453125 
3c66a5,4,5,8.594272011204769;50.04689025878906 8.652094790810033;50.05938720703125 
394a65,1,5,-2.8972625732421875;52.55744934082031 -2.93731689453125;52.151824951171875 -2.93792724609375;52.149261474609375 -2.9391566685267776;52.14427883342161 -2.9395490373883604;52.142835714049255 
406a92,1,6,3.6693631685697112;48.46046447753906 3.579007662259615;48.57037353515625 3.4823769017269735;48.687030339645126 3.382704885382401;48.80680924755031 3.2818764134457235;48.9276123046875 3.1845173082853617;49.04320151118909 
424123,1,3,8.449753981370192;47.545290154925844 8.48827655498798;47.51712605104608 8.527725219726562;47.48826599121094 
406909,1,6,9.079856872558594;46.245365466101696 9.018234625095275;46.355987548828125 8.952651605373477;46.47093200683594 8.887939453125;46.583587646484375 8.75590254620808;46.666900634765625 8.60236191168064;46.73460388183594 
89639a,1,5,5.473344132706925;50.795562744140625 5.2802276611328125;50.81828489141949 5.071971996410473;50.84454345703125 4.879488558382602;50.878692626953125 4.682105811866554;50.91343688964844 
4b8e01,1,6,8.223489297402871;50.07889569815943 8.129087749280426;50.05540466308594 8.120826514991554;49.99561374470339 8.18191940720017;49.95478743213718 8.25449090254934;49.96018981933594 8.330680228568411;49.978622177899894 
4009c6,1,4,0.33966064453125;51.64160776946504 0.2309417724609375;51.64421469478284 0.117034912109375;51.63904739638506 0.13740333350929054;51.577239990234375 
4ca815,1,6,-3.3782958984375;40.96866930945445 -3.43609619140625;40.979461669921875 -3.51446533203125;40.97145080566406 -3.60479736328125;40.99241638183594 -3.6224295876243104;40.93529135493909 -3.5928414084694396;40.87495965472722 
394c09,1,6,3.707744891826923;48.95429992675781 3.8558397795024666;48.93925036414195 4.024465460526315;48.92188637943591 4.188044621394231;48.904632568359375 4.347768930288461;48.85990905761719 4.508731239720395;48.81756281448623 
ab4489,1,6,8.378950909870428;45.7613525390625 8.325027465820312;45.76341014797404 8.114364624023438;45.771184371689614 7.9440765380859375;45.77723616260593 7.752296447753906;45.78375347590042 7.559211730957031;45.789898371292374 
40095d,2,4,3.0657196044921875;51.900238037109375 3.022918701171875;51.89061568955243 2.8569649361275338;51.85295104980469 
4b1a1a,5,6,9.904518127441406;45.6395811953787 9.835979182545733;45.64031982421875 
3950cf,1,6,8.17249194995777;49.90553516452595 8.002311304995887;49.88969421386719 7.8144595497532885;49.8717041015625 7.624140559016047;49.85339665817002 7.437671862150493;49.8350830078125 7.250085779138513;49.816247972391416 
4ca2c9,1,6,-2.0574188232421875;51.40838105799788 -1.90185546875;51.371046163268005 -1.7230987548828125;51.32775258209745 -1.5472906989020316;51.284820556640625 -1.3695526123046875;51.24107231528072 -1.1926104571368228;51.19720458984375 
aa9249,4,6,8.526429872255068;49.992075774629235 8.530289933488175;49.94179935778602 8.534075762774494;49.88170041876324 
400cd7,1,6,-1.3281579919763544;51.08184814453125 -1.4176074878589588;50.98658752441406 -1.507725071262655;50.88990783691406 -1.598733438027864;50.79158020019531 -1.6913749076224462;50.69105529785156 -1.782676295230317;50.59172058105469 
3c4961,2,6,8.416583721454327;47.745418225304554 8.343704223632812;47.72822570800781 8.269183819110577;47.70826953952595 8.288017272949219;47.66276550292969 8.337593078613281;47.62705993652344 
4b1618,1,4,9.499300443209133;47.42178706799523 9.744873046875;47.39539194915254 9.797607421875;47.388519287109375 9.983345031738281;47.364166259765625 
750293,1,6,6.339408255912162;50.55666131488347 6.52869972022804;50.52584373344809 6.7278640334670605;50.49307095802436 6.934396844161184;50.458648681640625 7.132502375422297;50.42524434752383 7.340023643092104;50.389892578125 
4b1698,1,5,-4.50451937588781;41.90185546875 -4.591161554509938;41.87397766113281 -4.729231013808089;41.829513291181144 -4.864069029342261;41.78584729210805 -5.017111135083576;41.735989845405186 
4b1696,1,6,6.972092848557692;47.77879617981991 7.1132953350360575;47.740064717955505 7.248847961425781;47.70268249511719 7.382812499999999;47.665488032971396 7.512394831730768;47.629875571040785 7.6372833251953125;47.60060119628906 
